process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
AIS,medium,ssp119,5,0.001,0.001,0.002,0.004,0.007,0.004,0,0,-0.007,-0.038,-0.043,-0.049,-0.054,-0.059
AIS,medium,ssp119,17,0.003,0.005,0.009,0.013,0.018,0.02,0.023,0.026,0.028,-0.008,-0.009,-0.01,-0.011,-0.012
AIS,medium,ssp119,50,0.006,0.012,0.02,0.03,0.041,0.054,0.068,0.086,0.103,0.11,0.126,0.142,0.159,0.175
AIS,medium,ssp119,83,0.018,0.034,0.055,0.08,0.109,0.142,0.177,0.215,0.253,0.29,0.329,0.367,0.406,0.445
AIS,medium,ssp119,95,0.03,0.058,0.093,0.133,0.178,0.227,0.278,0.332,0.388,0.446,0.506,0.565,0.623,0.682
AIS,medium,ssp126,5,0.001,0.001,0.002,0.004,0.006,0.005,0.001,0.001,-0.005,-0.045,-0.052,-0.059,-0.065,-0.072
AIS,medium,ssp126,17,0.003,0.005,0.008,0.013,0.019,0.021,0.023,0.027,0.031,-0.014,-0.016,-0.018,-0.021,-0.023
AIS,medium,ssp126,50,0.006,0.012,0.02,0.029,0.04,0.054,0.068,0.086,0.108,0.112,0.128,0.145,0.162,0.178
AIS,medium,ssp126,83,0.018,0.034,0.056,0.082,0.112,0.147,0.185,0.226,0.269,0.312,0.355,0.399,0.443,0.487
AIS,medium,ssp126,95,0.03,0.058,0.094,0.136,0.184,0.236,0.293,0.356,0.417,0.483,0.549,0.615,0.682,0.75
AIS,medium,ssp245,5,0.001,0.001,0.002,0.003,0.005,0.002,-0.001,-0.005,-0.011,-0.062,-0.073,-0.084,-0.095,-0.107
AIS,medium,ssp245,17,0.003,0.005,0.008,0.012,0.017,0.018,0.019,0.023,0.027,-0.027,-0.033,-0.039,-0.045,-0.051
AIS,medium,ssp245,50,0.006,0.012,0.02,0.028,0.039,0.052,0.067,0.086,0.11,0.11,0.126,0.142,0.158,0.174
AIS,medium,ssp245,83,0.018,0.034,0.055,0.081,0.112,0.149,0.191,0.24,0.293,0.344,0.395,0.446,0.498,0.548
AIS,medium,ssp245,95,0.029,0.056,0.09,0.133,0.183,0.242,0.308,0.379,0.459,0.536,0.615,0.692,0.773,0.851
AIS,medium,ssp370,5,0.001,0.001,0.002,0.003,0.004,0.003,-0.003,-0.006,-0.012,-0.078,-0.095,-0.113,-0.133,-0.153
AIS,medium,ssp370,17,0.003,0.005,0.008,0.012,0.016,0.018,0.017,0.023,0.025,-0.04,-0.05,-0.061,-0.073,-0.086
AIS,medium,ssp370,50,0.006,0.012,0.02,0.028,0.039,0.052,0.067,0.086,0.11,0.106,0.12,0.134,0.146,0.158
AIS,medium,ssp370,83,0.018,0.034,0.055,0.082,0.114,0.153,0.199,0.253,0.314,0.372,0.428,0.483,0.538,0.593
AIS,medium,ssp370,95,0.03,0.058,0.094,0.139,0.192,0.254,0.327,0.414,0.511,0.602,0.693,0.785,0.875,0.964
AIS,medium,ssp585,5,0.001,0.001,0.001,0.002,0.002,0.002,-0.004,-0.006,-0.003,-0.094,-0.115,-0.136,-0.16,-0.184
AIS,medium,ssp585,17,0.003,0.005,0.008,0.012,0.015,0.016,0.018,0.023,0.034,-0.052,-0.065,-0.079,-0.094,-0.109
AIS,medium,ssp585,50,0.006,0.012,0.02,0.028,0.038,0.051,0.067,0.088,0.115,0.106,0.119,0.132,0.144,0.156
AIS,medium,ssp585,83,0.018,0.034,0.055,0.083,0.117,0.159,0.209,0.269,0.341,0.406,0.47,0.533,0.595,0.657
AIS,medium,ssp585,95,0.03,0.058,0.094,0.14,0.197,0.266,0.349,0.447,0.563,0.668,0.773,0.877,0.98,1.084
AIS,low,ssp126,5,0,-0.013,-0.026,-0.034,-0.038,-0.046,-0.054,-0.068,-0.079,-0.09,-0.102,-0.115,-0.126,-0.149
AIS,low,ssp126,17,0.002,-0.001,-0.005,-0.004,-0.001,-0.001,-0.004,-0.008,-0.01,-0.014,-0.016,-0.018,-0.021,-0.023
AIS,low,ssp126,50,0.006,0.012,0.02,0.029,0.04,0.051,0.064,0.079,0.098,0.108,0.128,0.15,0.171,0.196
AIS,low,ssp126,83,0.018,0.034,0.056,0.082,0.112,0.147,0.185,0.226,0.269,0.312,0.355,0.399,0.449,0.513
AIS,low,ssp126,95,0.03,0.066,0.127,0.184,0.225,0.277,0.344,0.422,0.518,0.591,0.646,0.712,0.796,0.886
AIS,low,ssp585,5,-0.003,-0.025,-0.044,-0.049,-0.048,-0.057,-0.076,-0.097,-0.112,-0.125,-0.135,-0.161,-0.183,-0.219
AIS,low,ssp585,17,0,-0.009,-0.015,-0.012,-0.002,0.002,0.006,0.014,0.023,-0.052,-0.065,-0.079,-0.094,-0.109
AIS,low,ssp585,50,0.006,0.011,0.018,0.028,0.042,0.06,0.088,0.132,0.194,0.253,0.34,0.452,0.591,0.757
AIS,low,ssp585,83,0.018,0.04,0.077,0.118,0.179,0.262,0.354,0.453,0.559,0.833,1.286,1.896,2.764,3.681
AIS,low,ssp585,95,0.03,0.082,0.166,0.255,0.354,0.498,0.726,1.001,1.309,1.654,2.048,2.55,3.211,4.256
