process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
GIS,medium,ssp119,5,0.003,0.006,0.007,0.01,0.009,0.006,-0.001,-0.007,-0.033,0.032,0.037,0.041,0.046,0.05
GIS,medium,ssp119,17,0.004,0.008,0.011,0.017,0.017,0.019,0.017,0.017,0.002,0.051,0.057,0.063,0.069,0.075
GIS,medium,ssp119,50,0.005,0.011,0.017,0.025,0.03,0.037,0.043,0.048,0.045,0.07,0.078,0.086,0.094,0.102
GIS,medium,ssp119,83,0.007,0.015,0.023,0.035,0.044,0.058,0.072,0.086,0.093,0.089,0.1,0.11,0.121,0.132
GIS,medium,ssp119,95,0.008,0.019,0.03,0.045,0.059,0.079,0.101,0.12,0.143,0.107,0.121,0.134,0.148,0.162
GIS,medium,ssp126,5,0.003,0.006,0.008,0.011,0.012,0.013,0.004,0,-0.019,0.055,0.062,0.069,0.076,0.083
GIS,medium,ssp126,17,0.004,0.008,0.012,0.018,0.02,0.025,0.024,0.024,0.012,0.068,0.077,0.085,0.093,0.102
GIS,medium,ssp126,50,0.005,0.011,0.018,0.026,0.033,0.042,0.048,0.055,0.055,0.087,0.098,0.109,0.12,0.131
GIS,medium,ssp126,83,0.007,0.015,0.024,0.036,0.047,0.061,0.077,0.09,0.103,0.111,0.125,0.139,0.154,0.169
GIS,medium,ssp126,95,0.008,0.018,0.031,0.046,0.061,0.083,0.109,0.124,0.151,0.133,0.151,0.169,0.187,0.206
GIS,medium,ssp245,5,0.003,0.006,0.009,0.013,0.016,0.02,0.018,0.017,0.01,0.078,0.089,0.099,0.109,0.119
GIS,medium,ssp245,17,0.004,0.008,0.013,0.019,0.025,0.032,0.035,0.04,0.042,0.096,0.11,0.123,0.136,0.15
GIS,medium,ssp245,50,0.005,0.011,0.018,0.028,0.036,0.048,0.059,0.072,0.083,0.12,0.138,0.155,0.172,0.19
GIS,medium,ssp245,83,0.007,0.015,0.025,0.038,0.05,0.066,0.087,0.107,0.131,0.148,0.17,0.193,0.215,0.237
GIS,medium,ssp245,95,0.008,0.019,0.032,0.048,0.065,0.089,0.115,0.146,0.176,0.169,0.194,0.219,0.244,0.269
GIS,medium,ssp370,5,0.003,0.006,0.01,0.014,0.019,0.024,0.027,0.035,0.035,0.098,0.112,0.127,0.142,0.156
GIS,medium,ssp370,17,0.004,0.008,0.014,0.02,0.028,0.037,0.045,0.057,0.069,0.118,0.136,0.155,0.173,0.191
GIS,medium,ssp370,50,0.005,0.012,0.019,0.029,0.039,0.053,0.069,0.089,0.114,0.144,0.167,0.189,0.212,0.235
GIS,medium,ssp370,83,0.007,0.015,0.026,0.038,0.052,0.072,0.096,0.124,0.16,0.175,0.202,0.229,0.257,0.284
GIS,medium,ssp370,95,0.008,0.019,0.032,0.049,0.068,0.094,0.122,0.163,0.205,0.2,0.232,0.263,0.295,0.326
GIS,medium,ssp585,5,0.003,0.007,0.011,0.016,0.022,0.03,0.036,0.05,0.053,0.114,0.132,0.15,0.168,0.186
GIS,medium,ssp585,17,0.004,0.009,0.015,0.022,0.031,0.042,0.052,0.071,0.085,0.134,0.155,0.176,0.197,0.218
GIS,medium,ssp585,50,0.005,0.012,0.021,0.031,0.043,0.059,0.078,0.102,0.13,0.166,0.193,0.22,0.247,0.274
GIS,medium,ssp585,83,0.007,0.016,0.027,0.041,0.057,0.078,0.105,0.141,0.182,0.213,0.248,0.283,0.319,0.354
GIS,medium,ssp585,95,0.008,0.019,0.034,0.051,0.072,0.099,0.132,0.18,0.234,0.262,0.308,0.354,0.4,0.446
GIS,low,ssp126,5,0.003,0.002,0.001,0.01,0.012,0.013,0.004,0,-0.019,0.029,0.033,0.033,0.034,0.036
GIS,low,ssp126,17,0.004,0.008,0.012,0.018,0.02,0.025,0.024,0.024,0.012,0.068,0.077,0.085,0.093,0.102
GIS,low,ssp126,50,0.008,0.016,0.026,0.036,0.05,0.063,0.074,0.084,0.092,0.12,0.137,0.152,0.168,0.182
GIS,low,ssp126,83,0.015,0.04,0.071,0.103,0.134,0.173,0.214,0.257,0.302,0.347,0.394,0.453,0.507,0.552
GIS,low,ssp126,95,0.021,0.066,0.122,0.176,0.214,0.263,0.365,0.467,0.556,0.632,0.696,0.747,0.829,0.927
GIS,low,ssp585,5,0.003,-0.007,-0.007,0.015,0.022,0.023,0.019,0.02,0.024,0.028,0.035,0.038,0.04,0.043
GIS,low,ssp585,17,0.004,0.007,0.011,0.022,0.031,0.042,0.052,0.071,0.085,0.116,0.134,0.151,0.163,0.177
GIS,low,ssp585,50,0.008,0.016,0.028,0.043,0.067,0.092,0.118,0.146,0.178,0.215,0.25,0.284,0.316,0.348
GIS,low,ssp585,83,0.016,0.048,0.089,0.137,0.199,0.294,0.396,0.492,0.592,0.678,0.755,0.83,0.908,0.978
GIS,low,ssp585,95,0.025,0.09,0.174,0.258,0.328,0.434,0.622,0.811,0.987,1.121,1.22,1.309,1.393,1.514
