process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
glaciers,medium,ssp119,5,0.01,0.017,0.016,0.024,0.021,0.033,0.033,0.039,0.042,0.04,0.04,0.041,0.041,0.041
glaciers,medium,ssp119,17,0.011,0.02,0.021,0.03,0.029,0.042,0.045,0.051,0.058,0.056,0.058,0.06,0.061,0.062
glaciers,medium,ssp119,50,0.012,0.024,0.029,0.04,0.041,0.055,0.06,0.069,0.077,0.082,0.086,0.09,0.093,0.096
glaciers,medium,ssp119,83,0.014,0.028,0.037,0.05,0.053,0.068,0.076,0.087,0.097,0.113,0.12,0.126,0.131,0.136
glaciers,medium,ssp119,95,0.015,0.031,0.043,0.056,0.062,0.078,0.088,0.1,0.112,0.134,0.142,0.149,0.157,0.163
glaciers,medium,ssp126,5,0.01,0.018,0.02,0.03,0.031,0.041,0.045,0.049,0.054,0.049,0.052,0.054,0.056,0.058
glaciers,medium,ssp126,17,0.011,0.02,0.025,0.037,0.039,0.051,0.057,0.061,0.068,0.068,0.072,0.076,0.079,0.083
glaciers,medium,ssp126,50,0.012,0.024,0.033,0.046,0.051,0.064,0.073,0.079,0.089,0.098,0.105,0.111,0.117,0.123
glaciers,medium,ssp126,83,0.014,0.028,0.04,0.056,0.062,0.078,0.088,0.097,0.109,0.134,0.144,0.154,0.163,0.172
glaciers,medium,ssp126,95,0.015,0.031,0.046,0.064,0.072,0.088,0.1,0.111,0.124,0.158,0.17,0.182,0.193,0.204
glaciers,medium,ssp245,5,0.01,0.018,0.025,0.038,0.044,0.055,0.065,0.073,0.084,0.069,0.075,0.081,0.087,0.093
glaciers,medium,ssp245,17,0.011,0.021,0.029,0.045,0.052,0.066,0.077,0.088,0.1,0.091,0.1,0.109,0.117,0.126
glaciers,medium,ssp245,50,0.013,0.024,0.036,0.054,0.064,0.08,0.095,0.107,0.123,0.13,0.144,0.158,0.171,0.184
glaciers,medium,ssp245,83,0.014,0.028,0.042,0.064,0.078,0.094,0.112,0.128,0.145,0.176,0.195,0.215,0.234,0.253
glaciers,medium,ssp245,95,0.015,0.031,0.047,0.071,0.085,0.105,0.124,0.142,0.162,0.205,0.228,0.251,0.274,0.297
glaciers,medium,ssp370,5,0.01,0.019,0.027,0.044,0.053,0.068,0.083,0.097,0.116,0.085,0.096,0.107,0.118,0.129
glaciers,medium,ssp370,17,0.011,0.021,0.032,0.05,0.062,0.078,0.096,0.112,0.134,0.111,0.126,0.141,0.156,0.172
glaciers,medium,ssp370,50,0.012,0.025,0.038,0.059,0.073,0.092,0.113,0.133,0.157,0.159,0.182,0.206,0.23,0.255
glaciers,medium,ssp370,83,0.014,0.029,0.044,0.069,0.086,0.106,0.131,0.154,0.18,0.212,0.244,0.277,0.31,0.315
glaciers,medium,ssp370,95,0.015,0.031,0.05,0.077,0.094,0.117,0.144,0.169,0.198,0.246,0.283,0.315,0.315,0.315
glaciers,medium,ssp585,5,0.01,0.02,0.031,0.049,0.061,0.078,0.097,0.116,0.133,0.096,0.108,0.12,0.133,0.145
glaciers,medium,ssp585,17,0.011,0.023,0.036,0.056,0.07,0.09,0.111,0.132,0.152,0.127,0.144,0.161,0.178,0.196
glaciers,medium,ssp585,50,0.013,0.027,0.043,0.067,0.083,0.106,0.129,0.154,0.178,0.183,0.21,0.238,0.266,0.295
glaciers,medium,ssp585,83,0.014,0.031,0.051,0.078,0.098,0.124,0.149,0.178,0.204,0.247,0.285,0.315,0.315,0.315
glaciers,medium,ssp585,95,0.015,0.033,0.057,0.086,0.109,0.137,0.166,0.196,0.226,0.288,0.315,0.315,0.315,0.315
glaciers,low,ssp126,5,0.01,0.018,0.02,0.028,0.031,0.036,0.04,0.044,0.047,0.049,0.052,0.054,0.056,0.058
glaciers,low,ssp126,17,0.011,0.02,0.025,0.036,0.039,0.048,0.054,0.059,0.064,0.068,0.072,0.076,0.079,0.083
glaciers,low,ssp126,50,0.016,0.026,0.036,0.048,0.054,0.066,0.074,0.082,0.09,0.098,0.105,0.111,0.117,0.123
glaciers,low,ssp126,83,0.024,0.036,0.049,0.063,0.076,0.089,0.101,0.113,0.124,0.134,0.144,0.154,0.163,0.172
glaciers,low,ssp126,95,0.026,0.04,0.056,0.072,0.088,0.103,0.118,0.132,0.145,0.158,0.17,0.182,0.193,0.204
glaciers,low,ssp585,5,0.01,0.019,0.025,0.032,0.041,0.05,0.06,0.072,0.083,0.096,0.108,0.12,0.133,0.145
glaciers,low,ssp585,17,0.011,0.023,0.032,0.041,0.052,0.065,0.079,0.094,0.11,0.127,0.144,0.161,0.178,0.196
glaciers,low,ssp585,50,0.017,0.028,0.042,0.062,0.078,0.098,0.12,0.144,0.168,0.183,0.21,0.238,0.266,0.295
glaciers,low,ssp585,83,0.024,0.037,0.053,0.078,0.098,0.124,0.149,0.178,0.211,0.247,0.285,0.315,0.315,0.315
glaciers,low,ssp585,95,0.026,0.041,0.059,0.086,0.109,0.137,0.169,0.206,0.246,0.288,0.315,0.315,0.315,0.315
