process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
landwaterstorage,medium,ssp119,5,0,-0.001,-0.003,-0.001,0,0.002,0.004,0.006,0.008,0.01,0.013,0.014,0.015,0.016
landwaterstorage,medium,ssp119,17,0,0,0,0.003,0.005,0.008,0.011,0.014,0.017,0.02,0.023,0.025,0.026,0.028
landwaterstorage,medium,ssp119,50,0.002,0.003,0.005,0.009,0.013,0.017,0.021,0.025,0.029,0.034,0.037,0.04,0.043,0.045
landwaterstorage,medium,ssp119,83,0.004,0.007,0.01,0.015,0.02,0.025,0.031,0.036,0.042,0.047,0.052,0.055,0.059,0.062
landwaterstorage,medium,ssp119,95,0.005,0.009,0.013,0.019,0.025,0.032,0.038,0.044,0.05,0.056,0.062,0.066,0.07,0.074
landwaterstorage,medium,ssp126,5,0,-0.001,-0.003,-0.001,0,0.002,0.004,0.006,0.008,0.01,0.013,0.014,0.015,0.016
landwaterstorage,medium,ssp126,17,0,0,0,0.003,0.005,0.008,0.011,0.014,0.017,0.02,0.023,0.025,0.026,0.028
landwaterstorage,medium,ssp126,50,0.002,0.003,0.005,0.009,0.013,0.017,0.021,0.025,0.029,0.034,0.037,0.04,0.043,0.045
landwaterstorage,medium,ssp126,83,0.004,0.007,0.01,0.015,0.02,0.025,0.031,0.036,0.042,0.047,0.052,0.055,0.059,0.062
landwaterstorage,medium,ssp126,95,0.005,0.009,0.013,0.019,0.025,0.032,0.038,0.044,0.05,0.056,0.062,0.066,0.07,0.074
landwaterstorage,medium,ssp245,5,0,-0.002,-0.003,-0.001,0,0.002,0.003,0.005,0.007,0.009,0.011,0.012,0.014,0.015
landwaterstorage,medium,ssp245,17,0,0,0,0.002,0.005,0.008,0.011,0.014,0.017,0.02,0.022,0.025,0.028,0.03
landwaterstorage,medium,ssp245,50,0.002,0.003,0.005,0.009,0.013,0.017,0.022,0.026,0.03,0.035,0.039,0.043,0.047,0.051
landwaterstorage,medium,ssp245,83,0.004,0.006,0.01,0.015,0.021,0.027,0.032,0.038,0.044,0.05,0.055,0.061,0.066,0.071
landwaterstorage,medium,ssp245,95,0.005,0.009,0.013,0.02,0.026,0.033,0.04,0.047,0.054,0.06,0.067,0.073,0.08,0.086
landwaterstorage,medium,ssp370,5,0,-0.002,-0.003,-0.001,0,0.002,0.004,0.006,0.009,0.011,0.014,0.016,0.019,0.022
landwaterstorage,medium,ssp370,17,0,0,0,0.003,0.006,0.009,0.013,0.016,0.02,0.024,0.028,0.032,0.036,0.041
landwaterstorage,medium,ssp370,50,0.002,0.003,0.005,0.009,0.014,0.019,0.024,0.03,0.035,0.041,0.047,0.054,0.06,0.067
landwaterstorage,medium,ssp370,83,0.004,0.006,0.01,0.016,0.022,0.029,0.036,0.043,0.051,0.059,0.067,0.076,0.084,0.094
landwaterstorage,medium,ssp370,95,0.005,0.009,0.014,0.02,0.028,0.035,0.044,0.053,0.062,0.071,0.081,0.091,0.102,0.113
landwaterstorage,medium,ssp585,5,0,-0.001,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.01,0.012,0.014,0.015,0.016
landwaterstorage,medium,ssp585,17,0,0,0,0.002,0.005,0.008,0.011,0.013,0.016,0.02,0.023,0.025,0.027,0.029
landwaterstorage,medium,ssp585,50,0.002,0.003,0.005,0.009,0.013,0.017,0.021,0.025,0.029,0.033,0.037,0.041,0.044,0.046
landwaterstorage,medium,ssp585,83,0.004,0.007,0.01,0.015,0.02,0.025,0.031,0.036,0.041,0.047,0.052,0.057,0.06,0.064
landwaterstorage,medium,ssp585,95,0.005,0.009,0.013,0.019,0.025,0.032,0.038,0.044,0.05,0.056,0.063,0.068,0.072,0.076
landwaterstorage,low,ssp126,5,0,-0.001,-0.003,-0.001,0,0.002,0.004,0.006,0.008,0.01,0.013,0.014,0.015,0.016
landwaterstorage,low,ssp126,17,0,0,0,0.003,0.005,0.008,0.011,0.014,0.017,0.02,0.023,0.025,0.026,0.028
landwaterstorage,low,ssp126,50,0.002,0.003,0.005,0.009,0.013,0.017,0.021,0.025,0.029,0.034,0.037,0.04,0.043,0.045
landwaterstorage,low,ssp126,83,0.004,0.007,0.01,0.015,0.02,0.025,0.031,0.036,0.042,0.047,0.052,0.055,0.059,0.062
landwaterstorage,low,ssp126,95,0.005,0.009,0.013,0.019,0.025,0.032,0.038,0.044,0.05,0.056,0.062,0.066,0.07,0.074
landwaterstorage,low,ssp585,5,0,-0.001,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.01,0.012,0.014,0.015,0.016
landwaterstorage,low,ssp585,17,0,0,0,0.002,0.005,0.008,0.011,0.013,0.016,0.02,0.023,0.025,0.027,0.029
landwaterstorage,low,ssp585,50,0.002,0.003,0.005,0.009,0.013,0.017,0.021,0.025,0.029,0.033,0.037,0.041,0.044,0.046
landwaterstorage,low,ssp585,83,0.004,0.007,0.01,0.015,0.02,0.025,0.031,0.036,0.041,0.047,0.052,0.057,0.06,0.064
landwaterstorage,low,ssp585,95,0.005,0.009,0.013,0.019,0.025,0.032,0.038,0.044,0.05,0.056,0.063,0.068,0.072,0.076
