process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
oceandynamics,medium,ssp119,5,0.016,0.028,0.039,0.049,0.056,0.063,0.069,0.074,0.078,0.081,0.084,0.085,0.086,0.087
oceandynamics,medium,ssp119,17,0.018,0.032,0.045,0.056,0.066,0.074,0.081,0.088,0.093,0.097,0.101,0.104,0.106,0.108
oceandynamics,medium,ssp119,50,0.022,0.039,0.055,0.069,0.081,0.091,0.101,0.11,0.117,0.123,0.129,0.133,0.137,0.14
oceandynamics,medium,ssp119,83,0.026,0.047,0.067,0.084,0.1,0.114,0.126,0.138,0.148,0.157,0.164,0.171,0.177,0.181
oceandynamics,medium,ssp119,95,0.03,0.054,0.077,0.098,0.117,0.134,0.149,0.163,0.176,0.187,0.197,0.206,0.214,0.22
oceandynamics,medium,ssp126,5,0.016,0.028,0.041,0.053,0.064,0.074,0.083,0.09,0.097,0.103,0.108,0.112,0.116,0.119
oceandynamics,medium,ssp126,17,0.018,0.032,0.047,0.061,0.074,0.086,0.096,0.106,0.114,0.121,0.128,0.134,0.139,0.144
oceandynamics,medium,ssp126,50,0.022,0.039,0.057,0.074,0.09,0.105,0.119,0.131,0.142,0.152,0.161,0.169,0.177,0.184
oceandynamics,medium,ssp126,83,0.026,0.047,0.069,0.091,0.111,0.13,0.148,0.163,0.178,0.191,0.204,0.215,0.226,0.236
oceandynamics,medium,ssp126,95,0.03,0.054,0.08,0.105,0.129,0.152,0.173,0.192,0.211,0.227,0.243,0.257,0.27,0.283
oceandynamics,medium,ssp245,5,0.016,0.029,0.043,0.058,0.074,0.091,0.107,0.123,0.139,0.154,0.167,0.181,0.194,0.206
oceandynamics,medium,ssp245,17,0.018,0.033,0.049,0.067,0.085,0.104,0.123,0.142,0.161,0.178,0.196,0.212,0.228,0.243
oceandynamics,medium,ssp245,50,0.022,0.039,0.059,0.081,0.103,0.126,0.15,0.174,0.197,0.219,0.241,0.262,0.282,0.302
oceandynamics,medium,ssp245,83,0.026,0.047,0.071,0.097,0.125,0.154,0.183,0.213,0.243,0.271,0.299,0.326,0.352,0.378
oceandynamics,medium,ssp245,95,0.03,0.054,0.081,0.111,0.144,0.177,0.212,0.247,0.283,0.317,0.35,0.383,0.415,0.447
oceandynamics,medium,ssp370,5,0.016,0.029,0.044,0.062,0.081,0.103,0.127,0.152,0.18,0.209,0.239,0.268,0.298,0.328
oceandynamics,medium,ssp370,17,0.018,0.033,0.051,0.071,0.093,0.118,0.145,0.174,0.206,0.24,0.274,0.309,0.344,0.379
oceandynamics,medium,ssp370,50,0.022,0.04,0.061,0.085,0.112,0.142,0.175,0.21,0.249,0.29,0.333,0.376,0.42,0.463
oceandynamics,medium,ssp370,83,0.026,0.048,0.073,0.102,0.134,0.171,0.211,0.255,0.302,0.353,0.406,0.46,0.514,0.569
oceandynamics,medium,ssp370,95,0.03,0.054,0.083,0.116,0.153,0.195,0.241,0.291,0.347,0.406,0.467,0.531,0.595,0.661
oceandynamics,medium,ssp585,5,0.016,0.031,0.048,0.068,0.091,0.117,0.146,0.178,0.211,0.245,0.28,0.315,0.35,0.384
oceandynamics,medium,ssp585,17,0.018,0.035,0.054,0.077,0.104,0.134,0.167,0.204,0.243,0.283,0.324,0.365,0.406,0.447
oceandynamics,medium,ssp585,50,0.022,0.042,0.065,0.093,0.125,0.162,0.203,0.248,0.295,0.345,0.396,0.447,0.499,0.55
oceandynamics,medium,ssp585,83,0.026,0.05,0.079,0.113,0.152,0.197,0.247,0.302,0.361,0.423,0.487,0.551,0.616,0.681
oceandynamics,medium,ssp585,95,0.03,0.057,0.09,0.129,0.174,0.226,0.285,0.35,0.42,0.493,0.567,0.645,0.722,0.799
oceandynamics,low,ssp126,5,0.016,0.028,0.041,0.053,0.064,0.074,0.083,0.09,0.097,0.103,0.108,0.112,0.116,0.119
oceandynamics,low,ssp126,17,0.018,0.032,0.047,0.061,0.074,0.086,0.096,0.106,0.114,0.121,0.128,0.134,0.139,0.144
oceandynamics,low,ssp126,50,0.022,0.039,0.057,0.074,0.09,0.105,0.119,0.131,0.142,0.152,0.161,0.169,0.177,0.184
oceandynamics,low,ssp126,83,0.026,0.047,0.069,0.091,0.111,0.13,0.148,0.163,0.178,0.191,0.204,0.215,0.226,0.236
oceandynamics,low,ssp126,95,0.03,0.054,0.08,0.105,0.129,0.152,0.173,0.192,0.211,0.227,0.243,0.257,0.27,0.283
oceandynamics,low,ssp585,5,0.016,0.031,0.048,0.068,0.091,0.117,0.146,0.178,0.211,0.245,0.28,0.315,0.35,0.384
oceandynamics,low,ssp585,17,0.018,0.035,0.054,0.077,0.104,0.134,0.167,0.204,0.243,0.283,0.324,0.365,0.406,0.447
oceandynamics,low,ssp585,50,0.022,0.042,0.065,0.093,0.125,0.162,0.203,0.248,0.295,0.345,0.396,0.447,0.499,0.55
oceandynamics,low,ssp585,83,0.026,0.05,0.079,0.113,0.152,0.197,0.247,0.302,0.361,0.423,0.487,0.551,0.616,0.681
oceandynamics,low,ssp585,95,0.03,0.057,0.09,0.129,0.174,0.226,0.285,0.35,0.42,0.493,0.567,0.645,0.722,0.799
